GOLD,III,False,76,75,86,360,55,101,56,117,83,22,3894222791
GOLD,III,True,150,523,89,134,203,202,76,427,92,142,3894056057
GOLD,III,True,202,76,223,80,234,92,121,29,157,51,3894073274
GOLD,III,False,76,16,81,83,7,18,115,25,161,875,3893926697
GOLD,III,True,202,45,59,161,75,78,76,81,64,2,3893849224
GOLD,III,True,14,887,3,145,235,777,75,154,76,360,3893872525
GOLD,III,False,110,887,76,122,18,238,64,235,84,875,3893662956
GOLD,III,True,875,141,145,517,21,421,81,360,23,76,3893602105
GOLD,III,False,34,164,67,11,76,86,53,64,134,360,3893549477
GOLD,III,False,11,127,51,63,55,25,17,76,517,202,3893553122
GOLD,III,False,20,117,75,777,110,360,80,234,150,76,3893521588
GOLD,III,True,126,157,101,131,15,31,238,202,122,76,3893449341
GOLD,III,True,517,238,120,84,18,412,86,42,76,29,3892675373
GOLD,III,True,8,222,121,145,555,84,202,245,13,76,3892594633
GOLD,III,False,84,266,360,25,147,238,56,76,145,58,3892557185
GOLD,III,True,92,9,235,91,50,76,141,55,420,222,3892550063
GOLD,III,True,236,122,76,51,25,15,63,36,234,131,3892465478
GOLD,III,False,81,202,25,9,266,76,18,1,34,48,3892470434
GOLD,III,True,143,28,75,777,15,235,76,32,31,875,3892430985
GOLD,III,True,91,240,76,235,131,117,77,81,6,245,3891699478
GOLD,III,False,222,64,19,89,517,62,8,203,110,76,3891695954
GOLD,III,True,18,245,147,68,8,76,17,5,22,121,3891683433
GOLD,III,True,76,62,119,82,38,516,37,22,887,11,3891548653
GOLD,III,False,39,110,68,245,267,117,887,81,76,238,3891573964
GOLD,III,False,157,111,122,77,202,56,53,58,84,67,3891488120
GOLD,III,True,77,145,76,23,54,105,11,12,516,360,3891502053
GOLD,III,True,86,145,412,45,56,76,777,887,51,11,3891454686
GOLD,III,False,122,67,20,76,147,157,119,131,62,101,3891359605
GOLD,III,True,131,202,99,106,84,76,86,245,18,56,3891372860
GOLD,III,True,245,202,235,35,83,85,76,74,38,33,3891255640
GOLD,III,False,236,56,516,517,76,526,58,21,36,112,3891193110
GOLD,III,True,76,6,18,112,77,84,7,20,222,1,3890279070
GOLD,III,True,76,145,99,122,238,234,235,51,112,17,3890293647
GOLD,III,True,6,81,74,76,106,77,103,17,143,222,3890217474
GOLD,III,False,517,126,5,110,76,6,222,103,235,19,3889616784
GOLD,III,True,77,236,76,82,7,119,350,20,92,23,3889173898
GOLD,III,False,53,17,24,203,429,76,202,121,55,64,3889148389
GOLD,III,True,126,25,112,2,22,80,76,141,142,236,3889045684
GOLD,III,False,76,8,96,122,254,53,876,67,10,99,3888066732
GOLD,III,True,7,222,5,76,92,67,350,91,62,6,3888062399
GOLD,III,False,421,117,13,39,360,3,202,36,58,76,3887583585
GOLD,III,True,245,360,26,121,14,64,76,81,17,157,3887550768
GOLD,III,False,76,25,122,7,222,106,103,81,74,24,3887526407
GOLD,III,True,875,203,76,234,142,157,106,40,82,54,3887503521
GOLD,III,False,25,19,76,51,86,202,161,120,24,517,3887480153
GOLD,III,True,98,21,101,134,131,99,35,76,53,266,3887445311
GOLD,III,False,887,76,3,105,67,154,238,157,29,111,3887441313
GOLD,III,False,72,83,222,161,76,50,98,9,64,3,3887336817
GOLD,III,True,64,164,245,110,432,84,145,58,141,76,3887341279
GOLD,III,False,127,18,517,56,76,887,25,131,103,67,3887265128
GOLD,III,True,114,22,115,29,76,15,39,68,13,26,3887246841
GOLD,III,False,432,11,164,103,236,54,202,246,876,76,3887119447
GOLD,III,True,6,61,201,222,107,266,8,76,360,5,3887051709
GOLD,III,True,106,51,76,517,60,8,89,222,421,516,3886854362
GOLD,III,False,82,5,42,360,497,81,56,7,76,887,3886725468
GOLD,III,False,50,14,68,81,35,74,76,82,238,11,3886656269
GOLD,III,True,90,122,141,89,145,236,4,98,64,76,3886569479
GOLD,III,True,76,81,6,245,234,39,145,238,161,20,3886590206
GOLD,III,True,222,99,4,104,31,76,119,14,48,518,3886533203
GOLD,III,True,412,81,33,134,75,56,777,18,82,76,3886468092
GOLD,III,False,76,234,115,777,86,62,89,141,202,245,3886432133
GOLD,III,True,58,19,3,76,18,22,78,432,34,82,3886366316
GOLD,III,False,25,202,420,22,101,76,110,86,91,28,3886391693
GOLD,III,True,122,29,22,74,234,68,777,81,76,72,3886336868
GOLD,III,False,29,350,141,54,55,9,76,15,240,777,3886301525
GOLD,III,False,81,98,55,24,141,222,76,92,64,11,3886267313
GOLD,III,False,154,235,98,39,360,114,246,67,147,76,3885765941
GOLD,III,False,777,86,161,202,887,75,76,141,222,203,3885760288
GOLD,III,False,76,22,106,238,234,78,777,875,110,12,3885713265
GOLD,III,True,875,34,15,235,25,106,76,246,145,58,3885587994
GOLD,III,True,145,126,555,3,131,76,360,777,85,412,3885600612
GOLD,III,False,131,67,98,42,76,516,154,202,497,777,3885514541
GOLD,III,False,78,99,15,555,57,222,84,58,64,76,3885488720
GOLD,III,True,266,74,64,202,235,131,38,14,22,76,3885501015
GOLD,III,False,875,11,29,115,76,234,117,53,63,18,3885411179
GOLD,III,True,99,14,202,103,76,117,110,82,68,517,3885258973
GOLD,III,True,85,81,76,131,86,3,222,9,10,268,3881622964
GOLD,III,True,92,84,56,76,360,33,99,136,78,22,3881566229
GOLD,III,False,235,202,4,92,76,115,110,134,121,106,3881560040
GOLD,III,False,142,429,150,120,76,61,104,89,110,68,3881462675
GOLD,III,False,103,56,145,10,16,76,427,29,517,516,3881443392
